istilah,pengertian,undang_undang,uu,url,status
Adat Salingka Nagari,Adat Salingka Nagari adalah adat yang berlaku dalam suatu Nagari sesuai dengan prinsip adat yang berlaku secara umum atau adat sebatang panjang dan diwarisi secara turun-temurun di Minangkabau.,Peraturan Daerah Provinsi Sumatera Barat Nomor 7 Tahun 2018,Nagari,https://paralegal.id/pengertian/adat-salingka-nagari/,OK
Penerima Jaminan,"Penerima Jaminan adalah lembaga keuangan atau di luar lembaga keuangan yang telah memberikan Kredit, Pembiayaan, Pembiayaan Berdasarkan Prinsip Syariah atau kontrak jasa kepada Terjamin",Undang-Undang Nomor 1 Tahun 2016,Penjaminan,https://paralegal.id/pengertian/penerima-jaminan/,OK
Tindak Pidana Kekerasan Seksual,Tindak Pidana Kekerasan Seksual adalah segala perbuatan yang memenuhi unsur tindak pidana sebagaimana diatur dalam Undang-Undang ini dan perbuatan kekerasan seksual lainnya sebagaimana diatur dalam Undang-Undang sepanjang ditentukan dalam Undang-Undang ini.,Undang-Undang Nomor 12 Tahun 2022,Tindak Pidana Kekerasan Seksual,https://paralegal.id/pengertian/tindak-pidana-kekerasan-seksual/,OK
Dana Dekonsentrasi,"Dana Dekonsentrasi adalah dana yang berasal dari APBN yang dilaksanakan oleh gubernur sebagai wakil Pemerintah yang mencakup semua penerimaan dan pengeluaran dalam rangka pelaksanaan Dekonsentrasi, tidak termasuk dana yang dialokasikan untuk instansi vertikal pusat di daerah",Undang-Undang Nomor 33 Tahun 2004,Perimbangan Keuangan Antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-dekonsentrasi/,OK
Dana Desa,"Dana Desa adalah bagian dari TKD yang diperuntukkan bagi desa dengan tujuan untuk mendukung pendanaan penyelenggaraan pemerintahan, pelaksanaan pembangunan, pemberdayaan masyarakat, dan kemasyarakatan.",Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-desa/,OK
Dana Haji,"Dana Haji adalah dana setoran biaya penyelenggaraan ibadah haji, dana efisiensi penyelenggaraan haji, dana abadi umat, serta nilai manfaat yang dikuasai oleh negara dalam rangka penyelenggaraan ibadah haji dan pelaksanaan program kegiatan untuk kemaslahatan umat Islam.",Undang-Undang Nomor 34 Tahun 2014,Pengelolaan Keuangan Haji,https://paralegal.id/pengertian/dana-haji/,OK
Dana Insentif Daerah,"Dana Insentif Daerah yang selanjutnya disingkat DID adalah dana yang bersumber dari anggaran pendapatan dan belanja negara yang dialokasikan kepada daerah tertentu berdasarkan kriteria/kategori tertentu dengan tujuan untuk memberikan penghargaan atas perbaikan dan/atau pencapaian kinerja tertentu di bidang tata kelola keuangan daerah, pelayanan umum pemerintahan, pelayanan dasar publik, dan kesejahteraan masyarakat.",Peraturan Presiden Nomor 42 Tahun 2020,Pemberian Penghargaan dan/atau Pengenaan Sanksi kepada Kementerian Negara/Lembaga dan Pemerintah Daerah,https://paralegal.id/pengertian/dana-insentif-daerah/,OK
Dana Jaminan,"Dana Jaminan adalah kekayaan Perusahaan Asuransi, Perusahaan Asuransi Syariah, perusahaan reasuransi, atau perusahaan reasuransi syariah yang merupakan jaminan terakhir dalam rangka melindungi kepentingan pemegang polis, tertanggung, atau peserta, dalam hal Perusahaan Asuransi, Perusahaan Asuransi Syariah, perusahaan reasuransi, dan perusahaan reasuransi syariah dilikuidasi.",Undang-Undang Nomor 40 Tahun 2014,Perasuransian,https://paralegal.id/pengertian/dana-jaminan/,OK
Dana Jaminan Pemulihan Lingkungan Hidup,Dana Jaminan Pemulihan Lingkungan Hidup adalah dana yang disiapkan oleh suatu Usaha dan/atau Kegiatan untuk pemulihan kualitas lingkungan hidup yang rusak dan/atau cemar karena kegiatannya.,Peraturan Pemerintah Nomor 46 Tahun 2017,Instrumen Ekonomi Lingkungan Hidup,https://paralegal.id/pengertian/dana-jaminan-pemulihan-lingkungan-hidup/,OK
Dana Jaminan Sosial,Dana Jaminan Sosial adalah dana amanat milik seluruh peserta yang merupakan himpunan iuran beserta hasil pengembangannya yang dikelola oleh Badan Penyelenggara Jaminan Sosial untuk pembayaran manfaat kepada peserta dan pembiayaan operasional penyelenggaraan program jaminan sosial,Undang-Undang Nomor 40 Tahun 2004,Sistem Jaminan Sosial Nasional,https://paralegal.id/pengertian/dana-jaminan-sosial/,OK
